scientific_name,preferred_common_name,habitat,genus,family,family_order,breeding_population,winter_visitor_population
Tringa stagnatilis,Marsh Sandpiper,marine,Tringa,Scolopacidae,Charadriiformes,,
Tringa ochropus,Green Sandpiper,freshwater,Tringa,Scolopacidae,Charadriiformes,2,290
Tringa solitaria,Solitary Sandpiper,,Tringa,Scolopacidae,Charadriiformes,,
Tringa melanoleuca,Greater Yellowlegs,marine,Tringa,Scolopacidae,Charadriiformes,,
Tringa nebularia,Greenshank,marine/terrestrial/freshwater,Tringa,Scolopacidae,Charadriiformes,"1,100+",920
Tringa glareola,Wood Sandpiper,freshwater,Tringa,Scolopacidae,Charadriiformes,30,
Tringa brevipes,Grey-tailed Tattler,marine,Tringa,Scolopacidae,Charadriiformes,,
Tringa flavipes,Lesser Yellowlegs,marine,Tringa,Scolopacidae,Charadriiformes,,
Calidris himantopus,Stilt Sandpiper,marine,Calidris,Scolopacidae,Charadriiformes,,
Calidris pugnax,Ruff,marine/freshwater,Calidris,Scolopacidae,Charadriiformes,13,920
Calidris canutus,Knot,marine,Calidris,Scolopacidae,Charadriiformes,,265000
Calidris falcinellus,Broad-billed Sandpiper,marine,Calidris,Scolopacidae,Charadriiformes,,
Calidris bairdii,Baird's Sandpiper,marine/terrestrial,Calidris,Scolopacidae,Charadriiformes,,
Calidris minuta,Little Stint,marine/freshwater,Calidris,Scolopacidae,Charadriiformes,,8
Calidris pusilla,Semipalmated Sandpiper,marine,Calidris,Scolopacidae,Charadriiformes,,
Calidris melanotos,Pectoral Sandpiper,marine,Calidris,Scolopacidae,Charadriiformes,,
Calidris subruficollis,Buff-breasted Sandpiper,,Calidris,Scolopacidae,Charadriiformes,,
Calidris acuminata,Sharp-tailed Sandpiper,marine,Calidris,Scolopacidae,Charadriiformes,,
Calidris alba,Sanderling,marine,Calidris,Scolopacidae,Charadriiformes,,20500
Calidris minutilla,Least Sandpiper,marine,Calidris,Scolopacidae,Charadriiformes,,
Calidris maritima,Purple Sandpiper,marine,Calidris,Scolopacidae,Charadriiformes,1,9900
Calidris mauri,Western Sandpiper,marine,Calidris,Scolopacidae,Charadriiformes,,
Calidris temminckii,Temminck's Stint,marine/freshwater,Calidris,Scolopacidae,Charadriiformes,,
Calidris ruficollis,Red-necked Stint,marine,Calidris,Scolopacidae,Charadriiformes,,
Phalaropus lobatus,Red-necked Phalarope,marine/freshwater,Phalaropus,Scolopacidae,Charadriiformes,64,
Phalaropus fulicarius,Grey Phalarope,marine/freshwater,Phalaropus,Scolopacidae,Charadriiformes,,
Arenaria interpres,Turnstone,marine,Arenaria,Scolopacidae,Charadriiformes,,43000
Bartramia longicauda,Upland Sandpiper,,Bartramia,Scolopacidae,Charadriiformes,,
Lymnocryptes minimus,Jack Snipe,freshwater,Lymnocryptes,Scolopacidae,Charadriiformes,,110000
Limnodromus scolopaceus,Long-billed Dowitcher,marine,Limnodromus,Scolopacidae,Charadriiformes,,
Limnodromus griseus,Short-billed Dowitcher,marine,Limnodromus,Scolopacidae,Charadriiformes,,
Gallinago delicata,Wilson's Snipe,,Gallinago,Scolopacidae,Charadriiformes,,
Gallinago media,Great Snipe,marine,Gallinago,Scolopacidae,Charadriiformes,,
Scolopax rusticola,Woodcock,terrestrial,Scolopax,Scolopacidae,Charadriiformes,"57,000 (43,000–71,000)",1400000
Uria lomvia,Brünnich's Guillemot,marine,Uria,Alcidae,Charadriiformes,,
Uria aalge,Common Guillemot,marine,Uria,Alcidae,Charadriiformes,950000,
Cepphus grylle,Black Guillemot,marine,Cepphus,Alcidae,Charadriiformes,19500,
Alca torda,Razorbill,marine,Alca,Alcidae,Charadriiformes,"165,000 (100,000–250,000)",
Alle alle,Little Auk,marine,Alle,Alcidae,Charadriiformes,,
Brachyramphus perdix,Long-billed Murrelet,,Brachyramphus,Alcidae,Charadriiformes,,
Fratercula arctica,Puffin,marine,Fratercula,Alcidae,Charadriiformes,"580,000-",
Fratercula cirrhata,Tufted Puffin,,Fratercula,Alcidae,Charadriiformes,,
Glareola pratincola,Collared Pratincole,marine,Glareola,Glareolidae,Charadriiformes,,
Stercorarius longicaudus,Long-tailed Skua,marine,Stercorarius,Stercorariidae,Charadriiformes,,
Stercorarius pomarinus,Pomarine Skua,marine,Stercorarius,Stercorariidae,Charadriiformes,,
Stercorarius parasiticus,Arctic Skua,marine,Stercorarius,Stercorariidae,Charadriiformes,785 (535–1550),
Stercorarius maccormicki,South Polar Skua,,Stercorarius,Stercorariidae,Charadriiformes,,
Himantopus himantopus,Black-winged Stilt,marine/freshwater,Himantopus,Recurvirostridae,Charadriiformes,3 (0–6),
